CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
CN48562492,2423104486,S1,04-03-2000,ACT1,1-10,C1,1
CN72623151,4605993654,S1,17-04-2000,ACT2,1-10,C2,1
CN27144358,8301851874,S1,28-06-2000,ACT3,1-10,C3,1
CN33795572,9453054029,S1,15-05-2000,ACT4,1-10,C4,0
CN28279711,2248165088,S1,09-02-2000,ACT5,1-10,C5,0
CN85847111,8891779042,S1,19-08-2000,ACT1,1-10,C6,1
CN62544457,7840425178,S1,28-08-2000,ACT2,1-10,C7,0
CN87019877,8573880739,S1,27-06-2000,ACT3,1-10,C8,0
CN54993239,6376577914,S1,14-07-2000,ACT4,1-10,C9,0
CN68808300,6127549968,S1,29-09-2000,ACT5,1-10,C10,1
CN57814318,2852501252,S1,04-03-2000,ACT1,1-10,C1,0
CN45600742,6345821478,S1,17-04-2000,ACT2,1-10,C2,1
CN48426472,7356821364,S1,28-06-2000,ACT3,1-10,C3,1
CN53027048,3525920918,S1,15-05-2000,ACT4,1-10,C4,0
CN65301427,7040606087,S1,09-02-2000,ACT5,1-10,C5,0
CN85337782,3303725966,S1,19-08-2000,ACT1,1-10,C6,1
CN27352494,7178879910,S1,28-08-2000,ACT2,1-10,C7,1
CN25703579,7593353099,S1,27-06-2000,ACT3,1-10,C8,0
CN96535311,6973332152,S1,14-07-2000,ACT4,1-10,C9,0
CN67403129,7739601603,S1,29-09-2000,ACT5,1-10,C10,1
CN87327455,3060284909,S1,04-03-2000,ACT1,1-10,C1,1
CN22731989,3238215423,S1,17-04-2000,ACT2,1-10,C2,0
CN42299201,7803631741,S1,28-06-2000,ACT3,1-10,C3,1
CN26006209,4242854261,S1,15-05-2000,ACT4,1-10,C4,0
CN84083936,6026917450,S1,09-02-2000,ACT5,1-10,C5,0
CN88337927,6766106507,S1,19-08-2000,ACT1,1-10,C6,1
CN50153025,3503532075,S1,28-08-2000,ACT2,1-10,C7,1
CN58940849,2473822003,S1,27-06-2000,ACT3,1-10,C8,0
CN69894923,2894848021,S1,14-07-2000,ACT4,1-10,C9,0
CN23355622,7723532166,S1,29-09-2000,ACT5,1-10,C10,1
CN67510222,4349835896,S1,04-03-2000,ACT1,1-10,C1,1
CN63738589,8162970959,S1,17-04-2000,ACT2,1-10,C2,1
CN86626141,9365209059,S1,28-06-2000,ACT3,1-10,C3,1
CN80961996,7919695553,S1,15-05-2000,ACT4,1-10,C4,0
CN74656891,7402835421,S1,09-02-2000,ACT5,1-10,C5,0
CN37117013,6905476121,S1,19-08-2000,ACT1,1-10,C6,1
CN82509129,4431818996,S1,28-08-2000,ACT2,1-10,C7,1
CN30401232,2406611120,S1,27-06-2000,ACT3,1-10,C8,0
CN30314308,4172603259,S1,14-07-2000,ACT4,1-10,C9,0
CN86865917,8360169544,S1,29-09-2000,ACT5,1-10,C10,1
CN55733801,5323481143,S1,04-03-2000,ACT1,1-10,C1,1
CN66733752,7627233259,S1,17-04-2000,ACT2,1-10,C2,1
CN25739296,6327376882,S1,28-06-2000,ACT3,1-10,C3,1
CN24956720,3241807653,S1,15-05-2000,ACT4,1-10,C4,0
CN36824994,8974788724,S1,09-02-2000,ACT5,1-10,C5,0
CN60507241,7635420366,S1,19-08-2000,ACT1,1-10,C6,1
CN97063511,4375413041,S1,28-08-2000,ACT2,1-10,C7,1
CN85333825,4768243849,S1,27-06-2000,ACT3,1-10,C8,0
CN33855594,4376948996,S1,14-07-2000,ACT4,1-10,C9,0
CN73407333,3064642384,S1,29-09-2000,ACT5,1-10,C10,1
CN39425877,9299381312,S1,04-03-2000,ACT1,1-10,C1,1
CN40121210,7820448513,S1,17-04-2000,ACT2,1-10,C2,1
CN81191619,9923952403,S1,28-06-2000,ACT3,1-10,C3,1
CN72101465,5357500592,S1,15-05-2000,ACT4,1-10,C4,0
CN55424673,4525048670,S1,09-02-2000,ACT5,1-10,C5,0
CN68894987,8795944566,S1,19-08-2000,ACT1,1-10,C6,1
CN95807924,2613785791,S1,28-08-2000,ACT2,1-10,C7,0
CN25759343,3986096888,S1,27-06-2000,ACT3,1-10,C8,0
CN61074798,4782637555,S1,14-07-2000,ACT4,1-10,C9,0
CN85230732,4656579294,S1,29-09-2000,ACT5,1-10,C10,1
CN33843200,6248777749,S1,04-03-2000,ACT1,1-10,C1,1
CN26329008,5455922942,S1,17-04-2000,ACT2,1-10,C2,1
CN59562218,4492726310,S1,28-06-2000,ACT3,1-10,C3,1
CN99510415,6051895797,S1,15-05-2000,ACT4,1-10,C4,0
CN77201346,4123625105,S1,09-02-2000,ACT5,1-10,C5,0
CN34742830,8804092220,S1,19-08-2000,ACT1,1-10,C6,1
CN80832925,4372798859,S1,28-08-2000,ACT2,1-10,C7,1
CN47456212,8908944779,S1,27-06-2000,ACT3,1-10,C8,0
CN42385309,2504918301,S1,14-07-2000,ACT4,1-10,C9,0
CN94597721,5066817440,S1,29-09-2000,ACT5,1-10,C10,1
CN59435836,8703528763,S1,04-03-2000,ACT1,1-10,C1,1
CN66969497,2501723092,S1,17-04-2000,ACT2,1-10,C2,1
CN81514490,8595693381,S1,28-06-2000,ACT3,1-10,C3,1
CN25296122,6554034988,S1,15-05-2000,ACT4,1-10,C4,0
CN36788554,3390799410,S1,09-02-2000,ACT5,1-10,C5,0
CN56067186,9677029797,S1,19-08-2000,ACT1,1-10,C6,1
CN24610752,9308860050,S1,28-08-2000,ACT2,1-10,C7,1
CN22973171,2801031312,S1,27-06-2000,ACT3,1-10,C8,0
CN92832054,7894279882,S1,14-07-2000,ACT4,1-10,C9,0
CN45496677,7990038523,S2,29-09-2000,ACT1,1-10,C10,1
CN78705088,2804266698,S2,04-03-2000,ACT2,1-10,C1,1
CN85587352,8123075954,S2,17-04-2000,ACT3,1-10,C2,1
CN95991185,6718217913,S2,28-06-2000,ACT4,1-10,C3,1
CN69095796,6442395625,S2,15-05-2000,ACT5,1-10,C4,0
