   ,CUSTOMER_NUMBER,ACCOUNT_NUMBER,CUSTOMER_SEGMENT,ACTION_DATE,ACTION_STRATEGY,DPD_OF_ACTION,COLLECTOR_CODE,SUCCESSFUL_ACTION
21,CN48562492,2423104486,S1,04-03-2000,ACT1,1-10,C1,1
22,CN72623151,4605993654,S1,17-04-2000,ACT2,1-10,C2,1
23,CN27144358,8301851874,S1,28-06-2000,ACT3,1-10,C3,1
24,CN33795572,9453054029,S1,15-05-2000,ACT4,1-10,C4,0
25,CN28279711,2248165088,S1,09-02-2000,ACT5,1-10,C5,0
26,CN85847111,8891779042,S1,19-08-2000,ACT1,1-10,C6,1
27,CN62544457,7840425178,S1,28-08-2000,ACT2,1-10,C7,1
28,CN87019877,8573880739,S1,27-06-2000,ACT3,1-10,C8,0
29,CN54993239,6376577914,S1,14-07-2000,ACT4,1-10,C9,0
30,CN68808300,6127549968,S1,29-09-2000,ACT5,1-10,C10,1
71,CN57814318,2852501252,S1,04-03-2000,ACT1,1-10,C1,1
72,CN45600742,6345821478,S1,17-04-2000,ACT2,1-10,C2,1
73,CN48426472,7356821364,S1,28-06-2000,ACT3,1-10,C3,1
74,CN53027048,3525920918,S1,15-05-2000,ACT4,1-10,C4,0
75,CN65301427,7040606087,S1,09-02-2000,ACT5,1-10,C5,0
76,CN85337782,3303725966,S1,19-08-2000,ACT1,1-10,C6,1
77,CN27352494,7178879910,S1,28-08-2000,ACT2,1-10,C7,1
78,CN25703579,7593353099,S1,27-06-2000,ACT3,1-10,C8,0
79,CN96535311,6973332152,S1,14-07-2000,ACT4,1-10,C9,0
80,CN67403129,7739601603,S1,29-09-2000,ACT5,1-10,C10,1
141,CN87327455,3060284909,S1,04-03-2000,ACT1,1-10,C1,1
142,CN22731989,3238215423,S1,17-04-2000,ACT2,1-10,C2,1
143,CN42299201,7803631741,S1,28-06-2000,ACT3,1-10,C3,1
144,CN26006209,4242854261,S1,15-05-2000,ACT4,1-10,C4,0
145,CN84083936,6026917450,S1,09-02-2000,ACT5,1-10,C5,0
146,CN88337927,6766106507,S1,19-08-2000,ACT1,1-10,C6,1
147,CN50153025,3503532075,S1,28-08-2000,ACT2,1-10,C7,1
148,CN58940849,2473822003,S1,27-06-2000,ACT3,1-10,C8,0
149,CN69894923,2894848021,S1,14-07-2000,ACT4,1-10,C9,0
150,CN23355622,7723532166,S1,29-09-2000,ACT5,1-10,C10,1
191,CN67510222,4349835896,S1,04-03-2000,ACT1,1-10,C1,1
192,CN63738589,8162970959,S1,17-04-2000,ACT2,1-10,C2,1
193,CN86626141,9365209059,S1,28-06-2000,ACT3,1-10,C3,1
194,CN80961996,7919695553,S1,15-05-2000,ACT4,1-10,C4,0
195,CN74656891,7402835421,S1,09-02-2000,ACT5,1-10,C5,0
196,CN37117013,6905476121,S1,19-08-2000,ACT1,1-10,C6,1
197,CN82509129,4431818996,S1,28-08-2000,ACT2,1-10,C7,1
198,CN30401232,2406611120,S1,27-06-2000,ACT3,1-10,C8,0
